PARM	PARM_DESCRIPTION	Description	Label
PZ42D2	PARTICLES,  <  42.21  MICRONS	PARTICLES,  <  42.21  MICRONS;PERCENT	
PZ500	PARTICLES,  < 500     MICRONS	PARTICLES,  < 500     MICRONS;PERCENT	
PZ5D27	PARTICLES,  <   5.27  MICRONS	PARTICLES,  <   5.27  MICRONS;PERCENT	
PZ704	PARTICLES,  < 704     MICRONS	PARTICLES,  < 704     MICRONS;PERCENT	
PZ7D46	PARTICLES,  <   7.46  MICRONS	PARTICLES,  <   7.46  MICRONS;PERCENT	
PZD211	PARTICLES,  <    .21  MICRONS	PARTICLES,  <    .21  MICRONS;PERCENT	
PZD34	PARTICLES,  <    .34  MICRONS	PARTICLES,  <    .34  MICRONS;PERCENT	
PZD43	PARTICLES,  <    .43  MICRONS	PARTICLES,  <    .43  MICRONS;PERCENT	
PZD66	PARTICLES,  <    .66  MICRONS	PARTICLES,  <    .66  MICRONS;PERCENT	
RAD226	RADIUM 226-HIVOLS-RPL	RADIUM 226-HIVOLS-RPL;BECQUEREL PER LITRE	
RSF	RESIDUE,FILTERED	RESIDUE,FILTERED;MILLIGRAM PER LITER	
RSFEST	SOLIDS; DISSOLVED ESTIMATED	SOLIDS; DISSOLVED ESTIMATED;MILLIGRAM PER LITER	
RSP	RESIDUE,PARTICULATE	RESIDUE,PARTICULATE;MILLIGRAM PER LITER	
RST	RESIDUE,TOTAL	RESIDUE,TOTAL;MILLIGRAM PER LITER	
SEUT	SELENIUM, UNFILTERED TOTAL	SELENIUM, UNFILTERED TOTAL;MILLIGRAM PER LITER	
SIO3UR	SILICATES,UNFILTERED REACTIVE	SILICATES,UNFILTERED REACTIVE;MILLIGRAM PER LITER	
SNUT	TIN       UNFILTERED TOTAL	TIN       UNFILTERED TOTAL;MICROGRAM PER LITER	
SRUT	STRONTIUM, UNFILTERED TOTAL	STRONTIUM, UNFILTERED TOTAL;MICROGRAM PER LITER	
SSO4UR	SULPHATE, UNFILTERED REACTIVE	SULPHATE, UNFILTERED REACTIVE;MILLIGRAM PER LITER	
SUM2	% <62 UM, >2.63 UM, SUM	% <62 UM, >2.63 UM, SUM;PERCENT	
SUM4	% <1000 UM, >62 UM, SUM	% <1000 UM, >62 UM, SUM;PERCENT	
SUM5	% <2.63 UM, >0.10 UM, SUM	% <2.63 UM, >0.10 UM, SUM;PERCENT	
TIUT	TITANIUM,  UNFILTERED TOTAL	TITANIUM,  UNFILTERED TOTAL;MICROGRAM PER LITER	
TOC	CARBON, TOTAL ORGANIC	CARBON, TOTAL ORGANIC;MILLIGRAM PER LITER	
TURB	TURBIDITY	TURBIDITY;FORMAZIN TURBIDITY UNIT	
UUUT	URANIUM,   UNFILTERED TOTAL	URANIUM,   UNFILTERED TOTAL;MICROGRAM PER LITER	
VVUT	VANADIUM,  UNFILTERED TOTAL	VANADIUM,  UNFILTERED TOTAL;MICROGRAM PER LITER	
X1HCBD	HEXACHLOROBUTADIENE	HEXACHLOROBUTADIENE;NANOGRAM PER LITER	
X1HCCP	HEXACHLORO CYCLO PENTADIENE	HEXACHLORO CYCLO PENTADIENE;NANOGRAM PER LITER	
X2123	TRICHLOROBENZENE   1,2,3	TRICHLOROBENZENE   1,2,3;NANOGRAM PER LITER	
X21234	TETRACHLOROBENZENE 1,2,3,4	TETRACHLOROBENZENE 1,2,3,4;NANOGRAM PER LITER	
X21235	TETRACHLOROBENZENE 1,2,3,5	TETRACHLOROBENZENE 1,2,3,5;NANOGRAM PER LITER	
X2124	TRICHLOROBENZENE   1,2,4	TRICHLOROBENZENE   1,2,4;NANOGRAM PER LITER	
X21245	TETRACHLOROBENZENE 1,2,4,5	TETRACHLOROBENZENE 1,2,4,5;NANOGRAM PER LITER	
X2135	TRICHLOROBENZENE   1,3,5	TRICHLOROBENZENE   1,3,5;NANOGRAM PER LITER	
X2HCB	HEXACHLOROBENZENE	HEXACHLOROBENZENE;NANOGRAM PER LITER	
X2HCE	HEXACHLOROETHANE	HEXACHLOROETHANE;NANOGRAM PER LITER	
X2OCST	OCTACHLOROSTYRENE	OCTACHLOROSTYRENE;NANOGRAM PER LITER	
X2PNCB	PENTACHLOROBENZENE	PENTACHLOROBENZENE;NANOGRAM PER LITER	
X2T236	TRICHLOROTOLUENE   2,3,6	TRICHLOROTOLUENE   2,3,6;NANOGRAM PER LITER	
X2T245	TRICHLOROTOLUENE   2,4,5	TRICHLOROTOLUENE   2,4,5;NANOGRAM PER LITER	
X2T26A	TRICHLOROTOLUENE   2,6,A	TRICHLOROTOLUENE   2,6,A;NANOGRAM PER LITER	
ZNUT	ZINC,  UNFILTERED TOTAL	ZINC,  UNFILTERED TOTAL;MICROGRAM PER LITER	
ZRUT	ZIRCONIUM,  UNFILTERED TOTAL	ZIRCONIUM,  UNFILTERED TOTAL;MICROGRAM PER LITER	
